seq_id,prompt_tokens,output_tokens,latency_s,tokens_per_sec
0,17,128,4.70049168728292,27.23119378049349
1,17,128,4.70049168728292,27.23119378049349
2,17,128,4.70049168728292,27.23119378049349
3,17,128,4.70049168728292,27.23119378049349
4,17,128,4.70049168728292,27.23119378049349
5,17,128,4.70049168728292,27.23119378049349
6,17,128,4.70049168728292,27.23119378049349
7,17,128,4.70049168728292,27.23119378049349
8,17,128,4.70049168728292,27.23119378049349
9,17,128,4.70049168728292,27.23119378049349
10,17,128,4.70049168728292,27.23119378049349
11,17,128,4.70049168728292,27.23119378049349
12,17,128,4.70049168728292,27.23119378049349
13,17,128,4.70049168728292,27.23119378049349
14,17,128,4.70049168728292,27.23119378049349
15,17,128,4.70049168728292,27.23119378049349
16,17,128,4.70049168728292,27.23119378049349
17,17,128,4.70049168728292,27.23119378049349
18,17,128,4.70049168728292,27.23119378049349
19,17,128,4.70049168728292,27.23119378049349
20,17,128,4.70049168728292,27.23119378049349
21,17,128,4.70049168728292,27.23119378049349
22,17,128,4.70049168728292,27.23119378049349
23,17,128,4.70049168728292,27.23119378049349
24,17,128,4.70049168728292,27.23119378049349
25,17,128,4.70049168728292,27.23119378049349
26,17,128,4.70049168728292,27.23119378049349
27,17,128,4.70049168728292,27.23119378049349
28,17,128,4.70049168728292,27.23119378049349
29,17,128,4.70049168728292,27.23119378049349
30,17,128,4.70049168728292,27.23119378049349
31,17,128,4.70049168728292,27.23119378049349
32,17,128,4.70049168728292,27.23119378049349
33,17,128,4.70049168728292,27.23119378049349
34,17,128,4.70049168728292,27.23119378049349
35,17,128,4.70049168728292,27.23119378049349
36,17,128,4.70049168728292,27.23119378049349
37,17,128,4.70049168728292,27.23119378049349
38,17,128,4.70049168728292,27.23119378049349
39,17,128,4.70049168728292,27.23119378049349
40,17,128,4.70049168728292,27.23119378049349
41,17,128,4.70049168728292,27.23119378049349
42,17,128,4.70049168728292,27.23119378049349
43,17,128,4.70049168728292,27.23119378049349
44,17,128,4.70049168728292,27.23119378049349
45,17,128,4.70049168728292,27.23119378049349
46,17,128,4.70049168728292,27.23119378049349
47,17,128,4.70049168728292,27.23119378049349
48,17,128,4.70049168728292,27.23119378049349
49,17,128,4.70049168728292,27.23119378049349
50,17,128,4.70049168728292,27.23119378049349
51,17,128,4.70049168728292,27.23119378049349
52,17,128,4.70049168728292,27.23119378049349
53,17,128,4.70049168728292,27.23119378049349
54,17,128,4.70049168728292,27.23119378049349
55,17,128,4.70049168728292,27.23119378049349
56,17,128,4.70049168728292,27.23119378049349
57,17,128,4.70049168728292,27.23119378049349
58,17,128,4.70049168728292,27.23119378049349
59,17,128,4.70049168728292,27.23119378049349
60,17,128,4.70049168728292,27.23119378049349
61,17,128,4.70049168728292,27.23119378049349
62,17,128,4.70049168728292,27.23119378049349
63,17,128,4.70049168728292,27.23119378049349
64,17,128,4.70049168728292,27.23119378049349
65,17,128,4.70049168728292,27.23119378049349
66,17,128,4.70049168728292,27.23119378049349
67,17,128,4.70049168728292,27.23119378049349
68,17,128,4.70049168728292,27.23119378049349
69,17,128,4.70049168728292,27.23119378049349
70,17,128,4.70049168728292,27.23119378049349
71,17,128,4.70049168728292,27.23119378049349
72,17,128,4.70049168728292,27.23119378049349
73,17,128,4.70049168728292,27.23119378049349
74,17,128,4.70049168728292,27.23119378049349
75,17,128,4.70049168728292,27.23119378049349
76,17,128,4.70049168728292,27.23119378049349
77,17,128,4.70049168728292,27.23119378049349
78,17,128,4.70049168728292,27.23119378049349
79,17,128,4.70049168728292,27.23119378049349
80,17,128,4.70049168728292,27.23119378049349
