backend,throughput_tok_per_s,total_time_s,peak_gpu_mem_used_mb,avg_gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_total_gb,avg_power_w,energy_j_estimate,mem_fragmentation_mb,throughput_speedup_vs_hf,throughput_tok_per_s_per_gb,peak_mem_fraction
vllm,6581.74913168036,24.881683686748147,23024.5625,23024.5625,24576.0,24.0,336.79744578313245,8389.861412384758,,10.97184225282125,274.2395471533483,0.9368718465169271
hf,599.8763908575115,414.6420892551541,6574.5625,6189.9735,24576.0,24.0,306.1966875,124509.92532589722,,1.0,24.99484961906298,0.26751963297526044
