seq_id,prompt_tokens,output_tokens,latency_s,tokens_per_sec
0,65,1024,9.460654709488153,108.23775218992229
1,65,1024,9.460654709488153,108.23775218992229
2,65,1024,9.460654709488153,108.23775218992229
3,65,1024,9.460654709488153,108.23775218992229
4,65,1024,9.460654709488153,108.23775218992229
5,65,1024,9.460654709488153,108.23775218992229
6,65,1024,9.460654709488153,108.23775218992229
7,65,1024,9.460654709488153,108.23775218992229
8,65,1024,9.460654709488153,108.23775218992229
9,65,1024,9.460654709488153,108.23775218992229
10,65,1024,9.460654709488153,108.23775218992229
11,65,1024,9.460654709488153,108.23775218992229
12,65,1024,9.460654709488153,108.23775218992229
13,65,1024,9.460654709488153,108.23775218992229
14,65,1024,9.460654709488153,108.23775218992229
15,65,1024,9.460654709488153,108.23775218992229
16,65,1024,9.460654709488153,108.23775218992229
17,65,1024,9.460654709488153,108.23775218992229
18,65,1024,9.460654709488153,108.23775218992229
19,65,1024,9.460654709488153,108.23775218992229
20,65,1024,9.460654709488153,108.23775218992229
21,65,1024,9.460654709488153,108.23775218992229
22,65,1024,9.460654709488153,108.23775218992229
23,65,1024,9.460654709488153,108.23775218992229
24,65,1024,9.460654709488153,108.23775218992229
25,65,1024,9.460654709488153,108.23775218992229
26,65,1024,9.460654709488153,108.23775218992229
27,65,1024,9.460654709488153,108.23775218992229
28,65,1024,9.460654709488153,108.23775218992229
29,65,1024,9.460654709488153,108.23775218992229
