seq_id,prompt_tokens,output_tokens,latency_s,tokens_per_sec
0,911,487,20.519476749002934,23.733548664863687
1,371,487,20.519476749002934,23.733548664863687
2,282,487,20.519476749002934,23.733548664863687
3,1016,487,20.519476749002934,23.733548664863687
4,538,487,20.519476749002934,23.733548664863687
5,507,487,20.519476749002934,23.733548664863687
6,485,487,20.519476749002934,23.733548664863687
7,399,487,20.519476749002934,23.733548664863687
8,1011,465,4.072991279885173,114.16670649319667
9,361,465,4.072991279885173,114.16670649319667
10,949,465,4.072991279885173,114.16670649319667
11,1015,465,4.072991279885173,114.16670649319667
12,815,465,4.072991279885173,114.16670649319667
13,346,465,4.072991279885173,114.16670649319667
14,861,465,4.072991279885173,114.16670649319667
15,689,465,4.072991279885173,114.16670649319667
16,289,456,3.9746329113841057,114.7275761477064
17,287,456,3.9746329113841057,114.7275761477064
18,352,456,3.9746329113841057,114.7275761477064
19,480,456,3.9746329113841057,114.7275761477064
20,495,456,3.9746329113841057,114.7275761477064
21,774,456,3.9746329113841057,114.7275761477064
22,873,456,3.9746329113841057,114.7275761477064
23,284,456,3.9746329113841057,114.7275761477064
24,831,475,4.153533846139908,114.3604500638515
25,460,475,4.153533846139908,114.3604500638515
26,990,475,4.153533846139908,114.3604500638515
27,922,475,4.153533846139908,114.3604500638515
28,975,475,4.153533846139908,114.3604500638515
29,815,475,4.153533846139908,114.3604500638515
30,686,475,4.153533846139908,114.3604500638515
31,482,475,4.153533846139908,114.3604500638515
32,716,501,4.37218719907105,114.587957282901
33,860,501,4.37218719907105,114.587957282901
34,541,501,4.37218719907105,114.587957282901
35,263,501,4.37218719907105,114.587957282901
36,420,501,4.37218719907105,114.587957282901
37,971,501,4.37218719907105,114.587957282901
38,689,501,4.37218719907105,114.587957282901
39,605,501,4.37218719907105,114.587957282901
40,541,438,3.7917894925922155,115.5127416370802
41,416,438,3.7917894925922155,115.5127416370802
42,477,438,3.7917894925922155,115.5127416370802
43,601,438,3.7917894925922155,115.5127416370802
44,361,438,3.7917894925922155,115.5127416370802
45,351,438,3.7917894925922155,115.5127416370802
46,646,438,3.7917894925922155,115.5127416370802
47,356,438,3.7917894925922155,115.5127416370802
48,624,496,4.334732931107283,114.42458114098847
49,609,496,4.334732931107283,114.42458114098847
50,875,496,4.334732931107283,114.42458114098847
51,527,496,4.334732931107283,114.42458114098847
52,301,496,4.334732931107283,114.42458114098847
53,1004,496,4.334732931107283,114.42458114098847
54,727,496,4.334732931107283,114.42458114098847
55,806,496,4.334732931107283,114.42458114098847
56,384,507,4.413505163043737,114.87468152192024
57,644,507,4.413505163043737,114.87468152192024
58,337,507,4.413505163043737,114.87468152192024
59,822,507,4.413505163043737,114.87468152192024
60,557,507,4.413505163043737,114.87468152192024
61,900,507,4.413505163043737,114.87468152192024
62,890,507,4.413505163043737,114.87468152192024
63,627,507,4.413505163043737,114.87468152192024
64,848,496,4.3304774053394794,114.53702526849162
65,453,496,4.3304774053394794,114.53702526849162
66,978,496,4.3304774053394794,114.53702526849162
67,328,496,4.3304774053394794,114.53702526849162
68,303,496,4.3304774053394794,114.53702526849162
69,934,496,4.3304774053394794,114.53702526849162
70,490,496,4.3304774053394794,114.53702526849162
71,553,496,4.3304774053394794,114.53702526849162
72,338,484,4.216954816132784,114.7747654654405
73,495,484,4.216954816132784,114.7747654654405
74,360,484,4.216954816132784,114.7747654654405
75,646,484,4.216954816132784,114.7747654654405
76,541,484,4.216954816132784,114.7747654654405
77,721,484,4.216954816132784,114.7747654654405
78,907,484,4.216954816132784,114.7747654654405
79,630,484,4.216954816132784,114.7747654654405
80,423,511,4.458147028461099,114.6216122388389
81,636,511,4.458147028461099,114.6216122388389
82,620,511,4.458147028461099,114.6216122388389
83,471,511,4.458147028461099,114.6216122388389
84,943,511,4.458147028461099,114.6216122388389
85,530,511,4.458147028461099,114.6216122388389
86,975,511,4.458147028461099,114.6216122388389
87,956,511,4.458147028461099,114.6216122388389
88,920,443,3.884831439703703,114.03326164230891
89,330,443,3.884831439703703,114.03326164230891
90,880,443,3.884831439703703,114.03326164230891
91,907,443,3.884831439703703,114.03326164230891
92,432,443,3.884831439703703,114.03326164230891
93,803,443,3.884831439703703,114.03326164230891
94,1003,443,3.884831439703703,114.03326164230891
95,507,443,3.884831439703703,114.03326164230891
96,424,463,4.051361784338951,114.28256093785176
97,730,463,4.051361784338951,114.28256093785176
98,645,463,4.051361784338951,114.28256093785176
99,533,463,4.051361784338951,114.28256093785176
100,912,463,4.051361784338951,114.28256093785176
101,961,463,4.051361784338951,114.28256093785176
102,827,463,4.051361784338951,114.28256093785176
103,481,463,4.051361784338951,114.28256093785176
104,958,504,4.396325709298253,114.64118751120674
105,589,504,4.396325709298253,114.64118751120674
106,314,504,4.396325709298253,114.64118751120674
107,491,504,4.396325709298253,114.64118751120674
108,289,504,4.396325709298253,114.64118751120674
109,580,504,4.396325709298253,114.64118751120674
110,667,504,4.396325709298253,114.64118751120674
111,531,504,4.396325709298253,114.64118751120674
112,324,467,4.087301449850202,114.25631452192385
113,473,467,4.087301449850202,114.25631452192385
114,837,467,4.087301449850202,114.25631452192385
115,992,467,4.087301449850202,114.25631452192385
116,579,467,4.087301449850202,114.25631452192385
117,474,467,4.087301449850202,114.25631452192385
118,928,467,4.087301449850202,114.25631452192385
119,768,467,4.087301449850202,114.25631452192385
120,662,512,22.701304581016302,22.55376990219998
121,915,512,22.701304581016302,22.55376990219998
122,726,512,22.701304581016302,22.55376990219998
123,403,512,22.701304581016302,22.55376990219998
124,528,512,22.701304581016302,22.55376990219998
125,399,512,22.701304581016302,22.55376990219998
126,509,512,22.701304581016302,22.55376990219998
127,1019,512,22.701304581016302,22.55376990219998
128,831,450,4.028923980891705,111.69235312809337
129,808,450,4.028923980891705,111.69235312809337
130,526,450,4.028923980891705,111.69235312809337
131,1021,450,4.028923980891705,111.69235312809337
132,855,450,4.028923980891705,111.69235312809337
133,695,450,4.028923980891705,111.69235312809337
134,854,450,4.028923980891705,111.69235312809337
135,665,450,4.028923980891705,111.69235312809337
136,627,495,4.383169732987881,112.93197164476967
137,481,495,4.383169732987881,112.93197164476967
138,398,495,4.383169732987881,112.93197164476967
139,778,495,4.383169732987881,112.93197164476967
140,762,495,4.383169732987881,112.93197164476967
141,350,495,4.383169732987881,112.93197164476967
142,305,495,4.383169732987881,112.93197164476967
143,369,495,4.383169732987881,112.93197164476967
144,413,512,4.556409379467368,112.36918313513159
145,899,512,4.556409379467368,112.36918313513159
146,420,512,4.556409379467368,112.36918313513159
147,953,512,4.556409379467368,112.36918313513159
148,689,512,4.556409379467368,112.36918313513159
149,867,512,4.556409379467368,112.36918313513159
150,322,512,4.556409379467368,112.36918313513159
151,651,512,4.556409379467368,112.36918313513159
152,647,484,4.31514167226851,112.163177193104
153,867,484,4.31514167226851,112.163177193104
154,736,484,4.31514167226851,112.163177193104
155,798,484,4.31514167226851,112.163177193104
156,514,484,4.31514167226851,112.163177193104
157,823,484,4.31514167226851,112.163177193104
158,268,484,4.31514167226851,112.163177193104
159,953,484,4.31514167226851,112.163177193104
160,995,469,4.195966266095638,111.7740158660537
161,374,469,4.195966266095638,111.7740158660537
162,955,469,4.195966266095638,111.7740158660537
163,806,469,4.195966266095638,111.7740158660537
164,1025,469,4.195966266095638,111.7740158660537
165,530,469,4.195966266095638,111.7740158660537
166,913,469,4.195966266095638,111.7740158660537
167,605,469,4.195966266095638,111.7740158660537
168,371,496,4.429775690659881,111.96955210301257
169,557,496,4.429775690659881,111.96955210301257
170,702,496,4.429775690659881,111.96955210301257
171,418,496,4.429775690659881,111.96955210301257
172,721,496,4.429775690659881,111.96955210301257
173,260,496,4.429775690659881,111.96955210301257
174,996,496,4.429775690659881,111.96955210301257
175,993,496,4.429775690659881,111.96955210301257
176,526,512,4.549970854073763,112.52819334910394
177,769,512,4.549970854073763,112.52819334910394
178,439,512,4.549970854073763,112.52819334910394
179,776,512,4.549970854073763,112.52819334910394
180,365,512,4.549970854073763,112.52819334910394
181,897,512,4.549970854073763,112.52819334910394
182,562,512,4.549970854073763,112.52819334910394
183,911,512,4.549970854073763,112.52819334910394
184,776,493,4.381435219198465,112.52020749725676
185,880,493,4.381435219198465,112.52020749725676
186,460,493,4.381435219198465,112.52020749725676
187,413,493,4.381435219198465,112.52020749725676
188,639,493,4.381435219198465,112.52020749725676
189,422,493,4.381435219198465,112.52020749725676
190,809,493,4.381435219198465,112.52020749725676
191,800,493,4.381435219198465,112.52020749725676
192,257,404,3.6089374646544456,111.94430603376577
193,870,404,3.6089374646544456,111.94430603376577
194,588,404,3.6089374646544456,111.94430603376577
195,757,404,3.6089374646544456,111.94430603376577
196,276,404,3.6089374646544456,111.94430603376577
197,371,404,3.6089374646544456,111.94430603376577
198,628,404,3.6089374646544456,111.94430603376577
199,571,404,3.6089374646544456,111.94430603376577
200,502,489,4.364997332915664,112.02755985955329
201,316,489,4.364997332915664,112.02755985955329
202,503,489,4.364997332915664,112.02755985955329
203,837,489,4.364997332915664,112.02755985955329
204,337,489,4.364997332915664,112.02755985955329
205,344,489,4.364997332915664,112.02755985955329
206,1006,489,4.364997332915664,112.02755985955329
207,754,489,4.364997332915664,112.02755985955329
208,327,405,3.625400997698307,111.71178036777896
209,802,405,3.625400997698307,111.71178036777896
210,385,405,3.625400997698307,111.71178036777896
211,388,405,3.625400997698307,111.71178036777896
212,932,405,3.625400997698307,111.71178036777896
213,743,405,3.625400997698307,111.71178036777896
214,819,405,3.625400997698307,111.71178036777896
215,426,405,3.625400997698307,111.71178036777896
216,528,484,4.322043063119054,111.9840762647829
217,797,484,4.322043063119054,111.9840762647829
218,878,484,4.322043063119054,111.9840762647829
219,690,484,4.322043063119054,111.9840762647829
220,473,484,4.322043063119054,111.9840762647829
221,809,484,4.322043063119054,111.9840762647829
222,1004,484,4.322043063119054,111.9840762647829
223,963,484,4.322043063119054,111.9840762647829
224,462,510,4.543406963348389,112.25056529475877
225,987,510,4.543406963348389,112.25056529475877
226,576,510,4.543406963348389,112.25056529475877
227,665,510,4.543406963348389,112.25056529475877
228,944,510,4.543406963348389,112.25056529475877
229,922,510,4.543406963348389,112.25056529475877
230,639,510,4.543406963348389,112.25056529475877
231,705,510,4.543406963348389,112.25056529475877
232,786,436,3.8724570460617542,112.59001579976392
233,719,436,3.8724570460617542,112.59001579976392
234,380,436,3.8724570460617542,112.59001579976392
235,510,436,3.8724570460617542,112.59001579976392
236,487,436,3.8724570460617542,112.59001579976392
237,322,436,3.8724570460617542,112.59001579976392
238,603,436,3.8724570460617542,112.59001579976392
239,278,436,3.8724570460617542,112.59001579976392
240,859,498,4.440685823559761,112.14483973576657
241,824,498,4.440685823559761,112.14483973576657
242,492,498,4.440685823559761,112.14483973576657
243,859,498,4.440685823559761,112.14483973576657
244,482,498,4.440685823559761,112.14483973576657
245,264,498,4.440685823559761,112.14483973576657
246,329,498,4.440685823559761,112.14483973576657
247,981,498,4.440685823559761,112.14483973576657
248,903,446,3.9731104616075754,112.25461871994926
249,317,446,3.9731104616075754,112.25461871994926
250,491,446,3.9731104616075754,112.25461871994926
251,326,446,3.9731104616075754,112.25461871994926
252,289,446,3.9731104616075754,112.25461871994926
253,595,446,3.9731104616075754,112.25461871994926
254,329,446,3.9731104616075754,112.25461871994926
255,783,446,3.9731104616075754,112.25461871994926
256,500,467,4.174589954316616,111.86727441748187
257,542,467,4.174589954316616,111.86727441748187
258,942,467,4.174589954316616,111.86727441748187
259,754,467,4.174589954316616,111.86727441748187
260,476,467,4.174589954316616,111.86727441748187
261,809,467,4.174589954316616,111.86727441748187
262,392,467,4.174589954316616,111.86727441748187
263,997,467,4.174589954316616,111.86727441748187
264,841,360,3.2214652113616467,111.7503919428748
265,847,360,3.2214652113616467,111.7503919428748
266,741,360,3.2214652113616467,111.7503919428748
267,505,360,3.2214652113616467,111.7503919428748
268,741,360,3.2214652113616467,111.7503919428748
269,673,360,3.2214652113616467,111.7503919428748
